rural_or_urban,State Name,District Name,Block/Tehsil Name,Village Name,town_municipalty_name,ward_name,si_no_of_water_body_within_village_town,unique_id,water_body_name,basin_name,sub_basin_name,ref_water_body_type_id_name,nature_of_storage,khasra_number,latitude_dec,longitude_dec,water_body_loc_name,water_body_ownership_name,ref_water_body_in_use_id_name,ref_reason_water_body_in_use_id1_name,cca_water_body,ipc_water_body,scheme_status_reason_name,water_body_nature_name,manmade_water_body_type_name,construcion_year,construction_cost,renovation_year,renovation_cost,ref_water_body_under_repair_renovation_restoration_id_name,scheme_under_revival_is_done,scheme_inclusion_year,targeted_completion_year,estimated_cost,target_potential_revival,irrigation_potential_revived,water_spread_area_of_water_body,max_depth_water_body_fully_filled,storage_capacity_water_body_original,storage_capacity_water_body_present,filled_up_storage_name,filled_up_storage_space_name,no_town_cities_benefited,no_villages_benefited,no_people_benefited_by_water_body,ref_selection_id_wua_exists_name,extent_of_area_covered_by_wua,number_of_wua_formed,ref_selection_id_dip_sip_exists_name,ref_selection_id_water_body_encroached_name,ref_selection_id_encroachment_assessed_name,area_encroached_percentage,reason_water_body_in_use_name2,reason_water_body_in_use_name3
Rural,DELHI,NORTH EAST,YAMUNA VIHAR,ZAILUDDINPUR,NA,NA,1,1/33/002/000005/000082/001,NA,NA,NA,Others,BUILT UP AREA,NA,28.702222,77.279722,Others,Other Govt.Agency,No,NA,NA,NA,Construction,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUTH,SAKET,CHATTARPUR,NA,NA,1,1/33/004/000011/000142/001,CHHATARPUR,NA,NA,Others,INSIDE TEMPLE DRY,60,28.506111,77.180556,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,BAMNOLI,NA,NA,1,1/33/005/000014/000210/001,DDA JHOD,Ganga Basin,Yamuna Middle,Ponds,NA,547/232,28.545278,77.033056,Others,Other Govt.Agency,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,100,50,Nil/Negligible filled up,Never filled up,1,1,1500,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,BIJWASAN,NA,NA,1,1/33/005/000014/000185/001,JHOD ,Ganga Basin,Yamuna Middle,Ponds,NA,"17,28,23/24",28.534444,77.032778,Others,Other Govt.Agency,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,500,500,Upto 1/4,Never filled up,1,1,1000,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,NAJAFGARH,SUREHRA,NA,NA,5,1/33/005/000015/000235/005,NA,Ganga Basin,Yamuna Middle,Ponds,NA,40/1/1,28.594444,76.939167,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,15000,15000,Upto 1/2,Rarely filled up,1,1,1000,Not Known,NA,NA,Yes,No,NA,NA,NA,NA
Rural,DELHI,EAST,MAYUR VIHAR,KONDLI,NA,NA,2,1/33/008/000024/000309/002,NA,NA,NA,Others,BUILT UP,NA,28.615000,77.323889,Others,Other private body,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,NORTH,NARELA,MUNGESHP UR,NA,NA,4,1/33/001/000003/000055/004,NA,Ganga Basin,Yamuna Upper,Ponds,NA,Nov-26,28.816111,76.970000,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,8942,7153,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,GHEWRA,NA,NA,3,1/33/003/000007/000096/003,NA,Ganga Basin,Yamuna Upper,Ponds,NA,212,28.697222,76.996667,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,179887,179000,Upto 3/4,Usually filled up,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,JONTI,NA,NA,2,1/33/003/000007/000098/002,NA,Ganga Basin,Yamuna Upper,Ponds,NA,330/20,28.746389,76.966944,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,4244,339,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,PUNJAB KHOR,NA,NA,3,1/33/003/000007/000104/003,NA,Ganga Basin,Yamuna Upper,Ponds,NA,195/1,28.778611,76.962222,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,4418,3534,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
